No.,Carry (yd),Roll (yd),Total (yd),Lateral (yd),Ball (mph),Spin (rpm),Spin Axis (deg),Launch V (deg),Launch H (deg),Time (s),Height (ft),Wind Speed (mph),Wind Direction (deg),Air Pressure (psi),Temperature (F),Humidity (%),Ball type
1,257.8,6.2,264,21.2 L,155.8,3304,12.9 L,15.7,1.2 R,7.2,122.9,-,-,14.69,77,50,Standard
2,62.1,1.6,63.7,2.1 R,61,8986,1 R,29.7,1.7 R,3.5,37.4,-,-,14.69,77,50,Standard
3,274.5,10.9,285.4,11 L,161.9,2165,7.9 L,13.6,0.8 R,6.8,104.1,-,-,14.69,77,50,Standard
4,94.7,0.7,94,8.7 R,82.5,10659,4 R,29.5,3.6 R,5,72.4,-,-,14.69,77,50,Standard
5,178.9,0.9,179.8,12.1 R,128.9,4062,6.5 R,35.9,0.4 R,8.2,206.7,-,-,14.69,77,50,Standard
6,196.3,3.8,200.2,0.4 L,128.9,4769,1.1 L,16.7,0.4 R,6.5,99.6,-,-,14.69,77,50,Standard
7,173.3,2,175.3,5.7 R,120.4,5812,0.6 L,21.7,2.2 R,6.6,116,-,-,14.69,77,50,Standard
8,280.6,9.6,290.1,15.6 R,163.1,2167,3.5 L,14.8,4.6 R,7.1,117.6,-,-,14.69,77,50,Standard
9,67.5,1.2,68.8,1 L,64.4,9315,1.8 R,30.1,1.4 L,3.8,43,-,-,14.69,77,50,Standard
10,278.4,11.7,290.1,16.4 L,164.2,1787,19.6 L,15.2,3.8 R,6.8,111.3,-,-,14.69,77,50,Standard
11,168.2,1.8,169.9,1.4 R,117.9,5973,2.8 L,21.4,1.9 R,6.5,109.6,-,-,14.69,77,50,Standard
12,211.2,3.4,214.6,8.8 L,136.4,4644,8.9 L,18.2,2.1 R,7,120.3,-,-,14.69,77,50,Standard
13,37.4,1.1,38.5,5.8 R,44.8,7010,6.3 R,39.7,7.8 R,2.9,28.9,-,-,14.69,77,50,Standard
14,283.6,9.9,293.5,18.9 R,164.8,2125,3.5 R,14.4,2.4 R,7.1,116,-,-,14.69,77,50,Standard
15,141.1,0.1,141,8.2 L,110.1,8008,3.5 L,27.9,1.4 L,6.6,125,-,-,14.69,77,50,Standard
