No.,Carry (yd),Roll (yd),Total (yd),Lateral (yd),Ball (mph),Spin (rpm),Spin Axis (deg),Launch V (deg),Launch H (deg),Time (s),Height (ft),Wind Speed (mph),Wind Direction (deg),Air Pressure (psi),Temperature (F),Humidity (%),Ball type
1,59.8,20.2,80,8.8 L,70.5,2770,17.8 L,13.2,6.2 L,2.1,12.4,-,-,14.69,77,50,Standard
2,65.2,6.8,72,1.8 R,62.6,3485,0.5 L,24,1.7 R,3,27.1,-,-,14.69,77,50,Standard
